disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_12.oif,0,1462.589,140990.992,cold,-68.363,-57.57387091
MAX_17C_14dec_12.oif,1.243,1379.293,140990.992,cold,-67.12,-56.52704263
MAX_17C_14dec_12.oif,2.486,1345.028,140990.992,cold,-65.877,-55.48021435
MAX_17C_14dec_12.oif,3.729,1278.447,140990.992,cold,-64.634,-54.43338607
MAX_17C_14dec_12.oif,4.972,1274.317,140990.992,cold,-63.391,-53.3865578
MAX_17C_14dec_12.oif,6.215,1292.916,140990.992,cold,-62.148,-52.33972952
MAX_17C_14dec_12.oif,7.458,1277.951,140990.992,cold,-60.905,-51.29290124
MAX_17C_14dec_12.oif,8.701,1326.446,140990.992,cold,-59.662,-50.24607296
MAX_17C_14dec_12.oif,9.944,1335.36,140990.992,cold,-58.419,-49.19924469
MAX_17C_14dec_12.oif,11.187,1359.103,140990.992,cold,-57.176,-48.15241641
MAX_17C_14dec_12.oif,12.43,1410.042,140990.992,cold,-55.933,-47.10558813
MAX_17C_14dec_12.oif,13.673,1431.22,140990.992,cold,-54.69,-46.05875985
MAX_17C_14dec_12.oif,14.916,1444.112,140990.992,cold,-53.447,-45.01193158
MAX_17C_14dec_12.oif,16.159,1446.366,140990.992,cold,-52.204,-43.9651033
MAX_17C_14dec_12.oif,17.402,1469.137,140990.992,cold,-50.961,-42.91827502
MAX_17C_14dec_12.oif,18.645,1475.308,140990.992,cold,-49.718,-41.87144674
MAX_17C_14dec_12.oif,19.888,1493.122,140990.992,cold,-48.475,-40.82461847
MAX_17C_14dec_12.oif,21.13,1497.515,140990.992,cold,-47.233,-39.77863237
MAX_17C_14dec_12.oif,22.373,1508.755,140990.992,cold,-45.99,-38.73180409
MAX_17C_14dec_12.oif,23.616,1495.87,140990.992,cold,-44.747,-37.68497581
MAX_17C_14dec_12.oif,24.859,1492.246,140990.992,cold,-43.504,-36.63814753
MAX_17C_14dec_12.oif,26.102,1511.894,140990.992,cold,-42.261,-35.59131926
MAX_17C_14dec_12.oif,27.345,1509.162,140990.992,cold,-41.018,-34.54449098
MAX_17C_14dec_12.oif,28.588,1511.859,140990.992,cold,-39.775,-33.4976627
MAX_17C_14dec_12.oif,29.831,1535.327,140990.992,cold,-38.532,-32.45083442
MAX_17C_14dec_12.oif,31.074,1572.833,140990.992,cold,-37.289,-31.40400615
MAX_17C_14dec_12.oif,32.317,1546.675,140990.992,cold,-36.046,-30.35717787
MAX_17C_14dec_12.oif,33.56,1534.294,140990.992,cold,-34.803,-29.31034959
MAX_17C_14dec_12.oif,34.803,1522.327,140990.992,cold,-33.56,-28.26352131
